Request ID,Department,Request Type,Priority,Status,Ward,Date Opened,Date Closed,Resolution Days,Resolved Within Target,Citizen Satisfaction,Assigned Team,Latitude,Longitude,Estimated Cost,Channel,Weather,Year,Month,Quarter,Priority Score,Resolution Category,Cost Category,Request Age
MSR-09012,Public Works,Graffiti,Medium,Closed,Ward 1,2024-04-07,2024-04-18,11.0,No,3.4,Team F,43.783421,-79.601826,822.59,Email,Extreme Cold,2024,April,Q2,2,Slow,Medium,833
MSR-08107,Parks and Recreation,Trail Issue,High,Closed,Ward 10,2024-12-24,2024-12-28,4.0,Yes,4.1,Team B,43.852702,-79.677276,1354.48,Web,Snow,2024,December,Q4,3,Average,Medium,572
MSR-03469,Public Works,Pothole,Medium,Closed,Ward 9,2024-06-06,2024-06-09,3.0,Yes,3.9,Team C,43.843823,-79.555444,1364.98,Web,Rain,2024,June,Q2,2,Fast,Medium,773
MSR-08297,Parks and Recreation,Tree Damage,High,Closed,Ward 6,2025-08-28,2025-09-02,5.0,Yes,4.4,Team E,43.821732,-79.451762,1387.01,Email,Snow,2025,August,Q3,3,Average,Medium,325
MSR-09788,By-law Enforcement,Animal Control,Medium,Closed,Ward 4,2024-09-29,2024-10-03,4.0,Yes,4.2,Team H,43.906527,-79.559456,50.0,Mobile App,Clear,2024,September,Q3,2,Average,Low,658
MSR-08109,Public Works,Pothole,Medium,In Progress,Ward 8,2024-12-06,,,,,Team F,43.78824,-79.497995,50.0,Mobile App,Extreme Cold,2024,December,Q4,2,Open,Low,590
MSR-03605,Transportation Services,Streetlight Outage,Medium,Closed,Ward 8,2025-08-06,2025-08-17,11.0,No,2.6,Team G,43.780153,-79.551551,123.86,Email,Clear,2025,August,Q3,2,Slow,Low,347
MSR-07132,Parks and Recreation,Playground Repair,Medium,Closed,Ward 8,2025-10-21,2025-10-25,4.0,Yes,5.0,Team E,43.892905,-79.620877,1359.53,Phone,Extreme Cold,2025,October,Q4,2,Average,Medium,271
MSR-07729,By-law Enforcement,Animal Control,Medium,Closed,Ward 4,2024-08-19,2024-08-24,5.0,Yes,3.7,Team F,43.912099,-79.67191,1022.2,Phone,Extreme Cold,2024,August,Q3,2,Average,Medium,699
MSR-05391,Water Services,Low Water Pressure,Medium,Closed,Ward 8,2024-12-25,2025-01-03,9.0,Yes,2.8,Team F,43.817804,-79.616396,927.53,Mobile App,Clear,2024,December,Q4,2,Slow,Medium,571
MSR-05014,Water Services,Water Quality,Low,Closed,Ward 10,2025-09-11,2025-09-28,17.0,No,3.8,Team A,43.778781,-79.469517,655.15,Web,Clear,2025,September,Q3,1,Slow,Medium,311
MSR-05136,Public Works,Road Damage,Medium,Closed,Ward 9,2025-03-04,2025-03-18,14.0,No,2.9,Team D,43.82156,-79.550906,635.73,Email,Rain,2025,March,Q1,2,Slow,Medium,502
